WrWx_ID|Material|Plant|Manuf|Product Description|Manufacturer Material ID|Category|Product Type|Product Attributes
51605-CPR-8028680|CPR-8028680|0J60|SKF|Bearing SKF PSM061010|PSM 061010 A51|Bushing|Bushings|Bore diameter: 6.0 mm, Outside diameter: 10.0 mm, Width: 10.0 mm
40345-PD4-POW-02320|PD4-POW-02320|0D40|SKF|Bearing SKF QJ215MA|QJ 215 MA|Bearing|Angular contact ball bearings, four-point contact ball bearings|Bore diameter: 75.0 mm, Outside diameter: 130.0 mm, Width: 25.0 mm
15383-CBS-218697|CBS-218697|0M80|SKF|Bearing SKF QJ316N2MA|QJ 316 N2MA|Bearing|Angular contact ball bearings, four-point contact ball bearings|Bore diameter: 80.0 mm, Outside diameter: 170.0 mm, Width: 39.0 mm
38090-GRGS002403|GRGS002403|0CU0|SKF|Bearing SKF RLS10|RLS 10|Bearing|Deep groove ball bearings|
1309-CJL-93000686|CJL-93000686|0N70|SKF|Bearing SKF S71916ACB|S71916 ACB|Bearing|Angular contact ball bearings, super-precision|Bore diameter: 80.0 mm, Outside diameter: 110.0 mm, Width: 16.0 mm
47700-CJL-77046821|CJL-77046821|0GF0|SKF|Bearing SKF SA12C|SA 12 C|Accessory|Rod ends with a male thread|Bore diameter: 12.0 mm, Diameter head: 35.0 mm, Width inner ring: 10.0 mm, Thread: M 12 unit not found, Width head: 8.5 mm, Height shank end face - centre rod end eye: 54.0 mm, Angle of tilt: 10.0 ?
6558-PGM-49107994|PGM-49107994|0GM0|SKF|Bearing SKF SA25C|SA 25 C|Accessory|Rod ends with a male thread|Bore diameter: 25.0 mm, Diameter head: 65.0 mm, Width inner ring: 20.0 mm, Thread: M 24x2 unit not found, Width head: 18.0 mm, Height shank end face - centre rod end eye: 94.0 mm, Angle of tilt: 7.0 ?
83400-CNM-4110655|CNM-4110655|0NL0|SKF|Bearing SKF SAKAC5M|SAKAC 5 M|Accessory|Rod ends with a male thread|Bore diameter: 5.0 mm, Diameter head: 19.0 mm, Width inner ring: 8.0 mm, Thread: M 5 unit not found, Width head: 7.5 mm, Height shank end face - centre rod end eye: 33.0 mm, Angle of tilt: 13.0 ?
63122-GBC-BHO 056-269|GBC-BHO 056-269|0PF0|SKF|Bearing SKF SE210|SE 210 + C 2210|Housing|SE and SNL plummer block housings for bearings with a cylindrical bore, with standard seals|Shaft diameter: 50.0 mm, Shaft diameter: 60.0 mm, Designation bearing: C 2210 unit not found, Base width: 90.0 mm, Complete housing height: 114.0 mm, Spherical seat centre height: 60.0 mm, Overall length: 205.0 mm
64752-CQ4-BRNG1058|CQ4-BRNG1058|0Q40|SKF|Bearing SKF SE210|SE 210 + C 2210|Housing|SE and SNL plummer block housings for bearings with a cylindrical bore, with standard seals|Shaft diameter: 50.0 mm, Shaft diameter: 60.0 mm, Designation bearing: C 2210 unit not found, Base width: 90.0 mm, Complete housing height: 114.0 mm, Spherical seat centre height: 60.0 mm, Overall length: 205.0 mm
15458-PLJ-10001502|PLJ-10001502|0LJ0|SKF|Bearing SKF SI12C|SI 12 C|Accesory|Rod ends with a female thread|Bore diameter: 12.0 mm, Diameter head: 35.0 mm, Width inner ring: 10.0 mm, Thread: M 12 unit not found, Width head: 8.5 mm, Height shank end face - centre rod end eye: 50.0 mm, Angle of tilt: 10.0 ?
47584-CJL-77048933|CJL-77048933|0GF0|SKF|Bearing SKF GIR30DO|SI 30 ES|Accesory|Rod ends with a female thread|Bore diameter: 30.0 mm, Diameter head: 75.0 mm, Width inner ring: 22.0 mm, Thread: M 30x2 unit not found, Width head: 20.0 mm, Height shank end face - centre rod end eye: 110.0 mm, Angle of tilt: 6.0 ?
23604-PTX-1246|PTX-1246|0TX0|SKF|Bearing SKF LJ5|SILJ 50 ES|Accesory|Rod ends with a female thread|Bore diameter: 50.0 mm, Diameter head: 122.0 mm, Width inner ring: 35.0 mm, Thread: M 33x2 unit not found, Width head: 30.0 mm, Height shank end face - centre rod end eye: 130.0 mm, Angle of tilt: 6.0 ?
