WrWx_ID|Material|Plant|Manuf|Product Description|Manufacturer Material ID|Category|Product Type|Product Attributes
13717-CJL-77052964|CJL-77052964|0GM0|SKF|Bearing SKF 305805C2RS1|305805 C-2RS1|Track Roller|Cam rollers|Outside diameter: 62.0 mm, Bore diameter: 25.0 mm, Width: 20.6 mm, Basic dynamic load rating: 18.6 kN, Basic static load rating: 11.8 kN
17402-CJL-10005935|CJL-10005935|0RU0|SKF|Bearing SKF LR52052Z|305805 C-2Z|Track Roller|Cam rollers|Outside diameter: 62.0 mm, Bore diameter: 25.0 mm, Width: 20.6 mm, Basic dynamic load rating: 18.6 kN, Basic static load rating: 11.8 kN
3126-PG8-05201128|PG8-05201128|0G80|SKF|Bearing SKF 305805C2Z|305805 C-2Z|Track Roller|Cam rollers|Outside diameter: 62.0 mm, Bore diameter: 25.0 mm, Width: 20.6 mm, Basic dynamic load rating: 18.6 kN, Basic static load rating: 11.8 kN
70755-CJL-10005934|CJL-10005934|0RU0|SKF|Bearing SKF LR52052Z|305805 C-2Z|Track Roller|Cam rollers|Outside diameter: 62.0 mm, Bore diameter: 25.0 mm, Width: 20.6 mm, Basic dynamic load rating: 18.6 kN, Basic static load rating: 11.8 kN
75930-PTX-2177|PTX-2177|0TX0|SKF|Bearing SKF 305805C2Z|305805 C-2Z|Track Roller|Cam rollers|Outside diameter: 62.0 mm, Bore diameter: 25.0 mm, Width: 20.6 mm, Basic dynamic load rating: 18.6 kN, Basic static load rating: 11.8 kN
14335-PJ7-POW-02722|PJ7-POW-02722|0J70|SKF|Bearing SKF 32005X|32005 X|Bearing|Tapered roller bearings, single row|Bore diameter: 25.0 mm, Outside diameter: 47.0 mm, Total bearing width: 15.0 mm, Basic dynamic load rating: 33.2 kN, Basic static load rating: 32.5 kN
63243-CPH-TRA-100368|CPH-TRA-100368|0PH0|SKF|Bearing SKF 3202A2RS1TN9|3202 A-2RS1TN9/MT33|Bearing|Angular contact ball bearings, double row|Bore diameter: 15.0 mm, Outside diameter: 35.0 mm, Width: 15.9 mm
18597-PHA-POW-03100|PHA-POW-03100|0HA0|SKF|Bearing SKF 4202ATN9|4202 ATN9|Bearing|Deep groove ball bearings|Bore diameter: 15.0 mm, Outside diameter: 35.0 mm, Width: 14.0 mm, Basic dynamic load rating: 11.9 kN, Basic static load rating: 7.5 kN
25577-CPR-8034443|CPR-8034443|0K60|SKF|Bearing SKF 60002RS|6000-2RSH|Bearing|Deep groove ball bearings|Bore diameter: 10.0 mm, Outside diameter: 26.0 mm, Width: 8.0 mm, Basic dynamic load rating: 4.75 kN, Basic static load rating: 1.96 kN
70751-CJL-10005328|CJL-10005328|0RU0|SKF|Bearing SKF FYTB50TF|FYTB 50 TF|Bearing|Ball bearing oval flanged units|Bore diameter: 50.0 mm, Overall height: 189.0 mm, Overall length: 116.0 mm, Overall unit width: 60.6 mm
9106-PMZ-1005192|PMZ-1005192|0MZ0|SKF|Bearing SKF FYTB50WF|FYTB 50 WF|Bearing|Ball bearing oval flanged units|Bore diameter: 50.0 mm, Overall height: 189.0 mm, Overall length: 116.0 mm, Overall unit width: 66.1 mm
9078-CQ5-600059|CQ5-600059|0Q50|SKF|Bearing SKF FYTB504M|FYTB 504 M|Housing|Oval flanged housings for insert bearings|Diameter of spherical seat: 47.0 mm, Overall width: 29.5 mm, Overall height: 112.0 mm, Overall length: 60.5 mm
34106-GBO-031-039|GBO-031-039|670|SKF|Bearing SKF FYTB506M|FYTB 506 M|Housing|Oval flanged housings for insert bearings|
9351-PNB-1569524|PNB-1569524|0NB0|SKF|Bearing SKF FYTB510M|FYTB 510 M|Housing|Oval flanged housings for insert bearings|Diameter of spherical seat: 90.0 mm, Overall width: 43.0 mm, Overall height: 189.0 mm, Overall length: 116.0 mm
74857-CTK-561477|CTK-561477|0TK0|SKF|Bearing SKF FYTBK30TR|FYTBK 30 TR|Unit|Ball bearing oval flanged units|Bore diameter: 30.0 mm, Overall height: 142.5 mm, Overall length: 83.0 mm, Overall unit width: 42.2 mm
10149-PR4-1002472|PR4-1002472|0R40|SKF|Bearing SKF FYTJ20TF|FYTJ 20 TF|Unit|Ball bearing oval flanged units|Bore diameter: 20.0 mm, Overall height: 112.0 mm, Overall length: 60.0 mm, Overall unit width: 33.3 mm
14551-CCA-1009207|CCA-1009207|0K90|SKF|Bearing SKF UCFL208|FYTJ 40 TF|Unit|Ball bearing oval flanged units|Bore diameter: 40.0 mm, Overall height: 175.0 mm, Overall length: 100.0 mm, Overall unit width: 51.2 mm
1284-CJL-77045564|CJL-77045564|0GF0|SKF|Bearing SKF FYTJ|FYTJ 508|Bearing|Oval flanged housings for insert bearings|Diameter of spherical seat: 80.0 mm, Overall width: 36.0 mm, Overall height: 175.0 mm, Overall length: 100.0 mm
13867-PH8-10000088|PH8-10000088|0H80|SKF|Bearing SKF FYTWK20YTH|FYTWK 20 YTH|Unit|Ball bearing oval flanged units|Bore diameter: 20.0 mm, Overall height: 112.0 mm, Overall length: 60.5 mm, Overall unit width: 37.3 mm
77631-PB1-80501037|PB1-80501037|0B10|SKF|Bearing SKF FYTWK40LTHR|FYTWK 40 LTHR|Unit|Ball bearing oval flanged units|Bore diameter: 40.0 mm, Overall height: 175.0 mm, Overall length: 100.0 mm, Overall unit width: 51.7 mm
12468-GRGS007079|GRGS007079|0CM0|SKF|Bearing SKF FYTWK50LTHR|FYTWK 50 LTHR|Unit|Ball bearing oval flanged units|Bore diameter: 50.0 mm, Overall height: 197.0 mm, Overall length: 115.0 mm, Overall unit width: 57.6 mm
19464-PH8-10000086|PH8-10000086|0H80|SKF|Bearing SKF FYWK25YTH|FYWK 25 YTH|Unit|Ball bearing square flanged units|Bore diameter: 25.0 mm, Overall length: 95.0 mm, Overall unit width: 38.8 mm
74646-PT4-800455119|PT4-800455119|0T40|SKF|Bearing SKF GE10C|GE 10 C|Bearing|Radial spherical plain bearings|Bore diameter: 10.0 mm, Outside diameter: 19.0 mm, Nominal width: 9.0 mm, Width outer ring: 6.0 mm, Basic dynamic load rating: 8.65 kN, Basic static load rating: 21.6 kN
10799-PFO-10005193|PFO-10005193|0Q80|SKF|Bearing SKF GE10E|GE 10 E|Bearing|Radial spherical plain bearings|Bore diameter: 10.0 mm, Outside diameter: 19.0 mm, Nominal width: 9.0 mm, Width outer ring: 6.0 mm, Basic dynamic load rating: 8.15 kN, Basic static load rating: 40.5 kN
21429-PFO-10001828|PFO-10001828|0Q70|SKF|Bearing SKF GE100ES|GE 100 ES|Bearing|Radial spherical plain bearings|Bore diameter: 100.0 mm, Outside diameter: 150.0 mm, Nominal width: 70.0 mm, Width outer ring: 55.0 mm, Basic dynamic load rating: 610.0 kN, Basic static load rating: 3050.0 kN
12625-NF37664|NF37664|0AG0|SKF|Bearing SKF GE12C|GE 12 C|Bearing|Radial spherical plain bearings|Bore diameter: 12.0 mm, Outside diameter: 22.0 mm, Nominal width: 10.0 mm, Width outer ring: 7.0 mm, Basic dynamic load rating: 11.4 kN, Basic static load rating: 28.5 kN
17423-CAZ-SV70000203|CAZ-SV70000203|0RW0|SKF|Bearing SKF GE12C|GE 12 C|Bearing|Radial spherical plain bearings|Bore diameter: 12.0 mm, Outside diameter: 22.0 mm, Nominal width: 10.0 mm, Width outer ring: 7.0 mm, Basic dynamic load rating: 11.4 kN, Basic static load rating: 28.5 kN
13975-PH6-ENG-NO-100076|PH6-ENG-NO-100076|0H60|SKF|Bearing SKF GE15ES|GE 15 ES|Bearing|Radial spherical plain bearings|Bore diameter: 15.0 mm, Outside diameter: 26.0 mm, Nominal width: 12.0 mm, Width outer ring: 9.0 mm, Basic dynamic load rating: 17.0 kN, Basic static load rating: 85.0 kN
60884-CND-50004484|CND-50004484|0ND0|SKF|Bearing SKF MB15|GE 15 ES|Bearing|Radial spherical plain bearings|
72881-CBU-568838|CBU-568838|0S30|SKF|Bearing SKF GE15ES|GE 15 ES|Bearing|Radial spherical plain bearings|Bore diameter: 15.0 mm, Outside diameter: 26.0 mm, Nominal width: 12.0 mm, Width outer ring: 9.0 mm, Basic dynamic load rating: 17.0 kN, Basic static load rating: 85.0 kN
75416-CND-50004484|CND-50004484|0TU0|SKF|Bearing SKF MB15|GE 15 ES|Bearing|Radial spherical plain bearings|
10904-CSA-1305554|CSA-1305554|0D80|BOBST|Bearing BOBST GE17C|GE 17 C|Bearing|Radial spherical plain bearings|Bore diameter: 17.0 mm, Outside diameter: 30.0 mm, Nominal width: 14.0 mm, Width outer ring: 10.0 mm, Basic dynamic load rating: 22.4 kN, Basic static load rating: 56.0 kN
76412-CRR-102401|CRR-102401|0Q30|SKF|Bearing SKF GX20F|GX 20 F|Bearing|Thrust spherical plain bearings|Bore diameter (thrust part): 20.0 mm, Outside diameter: 55.0 mm, Nominal width: 20.0 mm, Basic dynamic load rating - axial direction: 46.5 kN, Basic static load rating - axial direction: 73.5 kN
50012-CKE-013270|CKE-013270|0HP0|SKF|Bearing SKF GX45F|GX 45 F|Bearing|Thrust spherical plain bearings|Bore diameter (thrust part): 45.0 mm, Outside diameter: 120.0 mm, Nominal width: 36.5 mm, Basic dynamic load rating - axial direction: 224.0 kN, Basic static load rating - axial direction: 355.0 kN
8428-CND-50052742|CND-50052742|0ND0|SKF|Bearing SKF GYE30KRRB|GYE30KRRB|Bearing|Insert bearings|
74833-CTK-563353|CTK-563353|0TK0|SKF|Bearing SKF H205|H 205|Accessory|Adapter sleeves for metric shafts|Bore diameter: 20.0 mm, Outside diameter small taper: 25.0 mm, Outside diameter lock nut: 38.0 mm, Width: 26.0 mm
23240-CTS-91312220|CTS-91312220|0S10|SKF|Bearing SKF H211|H 211|Accessory|Adapter sleeves for metric shafts|Bore diameter: 50.0 mm, Outside diameter small taper: 55.0 mm, Outside diameter lock nut: 75.0 mm, Width: 37.0 mm
35883-GBC-BSL 099-747|GBC-BSL 099-747|0AS0|SKF|Bearing SKF H3034|H 3034|Accessory|Adapter sleeves for metric shafts|Bore diameter: 150.0 mm, Outside diameter small taper: 170.0 mm, Outside diameter lock nut: 200.0 mm, Width: 101.0 mm
11441-CTS-91303325|CTS-91303325|0S10|SKF|Bearing SKF HE217|HE 217|Accessory|Adapter sleeves for inch shafts|Bore diameter: 76.2 mm, Outside diameter small taper: 85.0 mm, Outside diameter lock nut: 110.0 mm, Width: 50.0 mm
54499-CCA-1545057|CCA-1545057|0K90|SKF|Bearing SKF 10500|HJ 10/500|Accessory|Angle rings for cylindrical roller bearings|Bore diameter: 500.0 mm, Outside diameter: 577.0 mm, Width: 48.0 mm
84110-PNL-4454771|PNL-4454771|0NL0|SKF|Bearing SKF HK0306TN|HK 0306 TN|Bearing|Drawn cup needle roller bearings|Diameter under rollers: 3.0 mm, Outside diameter: 6.5 mm, Width: 6.0 mm, Basic dynamic load rating: 1.23 kN, Basic static load rating: 0.88 kN
33933-NF783419|NF783419|720|SKF|Bearing SKF HK0509|HK 0509|Bearing|Drawn cup needle roller bearings|Diameter under rollers: 5.0 mm, Outside diameter: 9.0 mm, Width: 9.0 mm, Basic dynamic load rating: 2.38 kN, Basic static load rating: 2.08 kN
22789-CBU-520445|CBU-520445|0S30|SKF|Bearing SKF HK0608|HK 0608|Bearing|Drawn cup needle roller bearings|Diameter under rollers: 6.0 mm, Outside diameter: 10.0 mm, Width: 8.0 mm, Basic dynamic load rating: 2.01 kN, Basic static load rating: 1.73 kN
33922-GBO-032-022|GBO-032-022|670|SKF|Bearing SKF HM3068|HM 3068|Accessory|Lock nuts requiring a keyway (metric)|
63976-CQ4-BRNG538|CQ4-BRNG538|0Q40|SKF|Bearing SKF K20X24X17|K 20X24X17|Accessory|Needle roller and cage assemblies|Diameter under rollers: 20.0 mm, Outside diameter roller complement: 24.0 mm, Width needle roller and cage assembly: 17.0 mm, Basic dynamic load rating: 12.5 kN, Basic static load rating: 20.8 kN
63663-CPH-TRA-103281|CPH-TRA-103281|0PH0|SKF|Bearing SKF K8X12X10TN|K 8X12X10 TN|Accessory|Needle roller and cage assemblies|Diameter under rollers: 8.0 mm, Outside diameter roller complement: 12.0 mm, Width needle roller and cage assembly: 10.0 mm, Basic dynamic load rating: 4.84 kN, Basic static load rating: 4.75 kN
75348-CND-50014181|CND-50014181|0TU0|SKF|Bearing SKF KM10|KM 10|Accessory|Lock nuts requiring a keyway (metric)|
76044-CTK-603216|CTK-603216|0TK0|SKF|Bearing SKF KM12|KM 12|Accessory|Lock nuts requiring a keyway (metric)|Thread size: 60.0 mm, Outside diameter: 80.0 mm, Width: 11.0 mm, Thread designation: M 60x2 unit not found, Axial static load carrying capacity: 95.0 kN
61701-PNH-1003559|PNH-1003559|0NH0|SKF|Bearing SKF AN18|KM 18|Accessory|Lock nuts requiring a keyway (metric)|Thread size: 90.0 mm, Outside diameter: 120.0 mm, Width: 16.0 mm, Thread designation: M 90x2 unit not found, Axial static load carrying capacity: 216.0 kN
62299-CND-52573762|CND-52573762|0ND0|SKF|Bearing SKF KMT16|KMT 16|Accessory|Precision lock nuts|
48016-PGM-04104632|PGM-04104632|0GM0|SKF|Bearing SKF KMT6|KMT 6|Accessory|Precision lock nuts|Thread size: 30.0 mm, Outside diameter locating side face: 44.0 mm, Width: 20.0 mm, Axial static load carrying capacity: 160.0 kN
12101-PNH-1010876|PNH-1010876|0NH0|SKF|Bearing SKF KR16PPA|KR 16 PPA|Track Roller|Cam followers|Outside diameter: 16.0 mm, Attachment diameter: 6.0 mm, Total length: 28.0 mm, Width outer ring: 11.0 mm, Basic dynamic load rating: 3.14 kN, Basic static load rating: 3.2 kN
44121-PFT-POW-0083|PFT-POW-0083|0FT0|SKF|Bearing SKF KR16PPSKA|KR 16 PPSKA|Track Roller|Cam followers|Outside diameter: 16.0 mm, Attachment diameter: 6.0 mm, Total length: 28.0 mm, Width outer ring: 11.0 mm, Basic dynamic load rating: 3.14 kN, Basic static load rating: 3.2 kN
22733-PRX-BEAR104|PRX-BEAR104|0RX0|SKF|Bearing SKF KR47PPA|KR 47 PPA|Track Roller|Cam followers|Outside diameter: 47.0 mm, Attachment diameter: 20.0 mm, Total length: 66.0 mm, Width outer ring: 24.0 mm, Basic dynamic load rating: 14.7 kN, Basic static load rating: 24.5 kN
82395-CND-50016847|CND-50016847|0NE0|SKF|Bearing SKF MB14|MB 14|Accessory|MB(L) lock washers|
12300-CCO-79227818|CCO-79227818|0RN0|SKF|Bearing SKF MB7|MB 7|Accessory|MB(L) lock washers|
34500-P83-POW-00870|P83-POW-00870|830|SKF|Bearing SKF N203ECP|N 203 ECP|Bearing|Cylindrical roller bearings, single row|Bore diameter: 17.0 mm, Outside diameter: 40.0 mm, Width: 12.0 mm, Basic dynamic load rating: 20.0 kN, Basic static load rating: 14.3 kN
40719-PD4-POW-03950|PD4-POW-03950|0D40|SKF|Bearing SKF N210ECP|N 210 ECP|Bearing|Cylindrical roller bearings, single row|Bore diameter: 50.0 mm, Outside diameter: 90.0 mm, Width: 20.0 mm, Basic dynamic load rating: 73.5 kN, Basic static load rating: 69.5 kN
